,rank,name,pob,birthdate,height,weight,year,month,win,loss,absent,next_rank,is_east,next_is_east,tier_rank,next_tier_rank,num_rank,next_num_rank,make_koshi,num_rank_diff,order,abs_rank,next_order,next_abs_rank,abs_rank_dif
35,M12e,Tsurugisho,Tokyo,27.07.1991,184.0,154.0,2020,1,6,9,0,M15e,True,True,5,5.0,12.0,15.0,False,-3.0,30,31.0,35.0,36.0,-5.0
36,M12w,Chiyomaru,Kagoshima,17.04.1991,178.0,176.3,2020,1,6,9,0,M15w,False,False,5,5.0,12.0,15.0,False,-3.0,31,32.0,36.0,37.0,-5.0
37,M15e,Azumaryu,Mongolia,12.05.1987,192.0,147.2,2020,1,7,8,0,M16e,True,True,5,5.0,15.0,16.0,False,-1.0,36,37.0,37.0,38.0,-1.0
38,M14w,Shimanoumi,Mie,11.07.1989,178.0,160.8,2020,1,6,9,0,M16w,False,False,5,5.0,14.0,16.0,False,-2.0,35,36.0,38.0,39.0,-3.0
39,M5e,Meisei,Kagoshima,24.07.1995,180.0,120.0,2020,1,1,7,7,M17e,True,True,5,5.0,5.0,17.0,False,-12.0,16,17.0,39.0,40.0,-23.0
40,J6e,Daiamami,Kagoshima,15.12.1992,185.0,167.0,2020,1,11,4,0,M17w,True,False,6,5.0,6.0,17.0,True,-11.0,52,53.0,40.0,41.0,12.0
41,J2e,Kotonowaka,Chiba,19.11.1997,186.0,147.0,2020,1,8,7,0,M18e,True,True,6,5.0,2.0,18.0,True,-16.0,44,45.0,41.0,42.0,3.0
42,M3w,Kotoyuki,Kagawa,02.04.1991,176.0,162.4,2020,1,0,0,15,J1e,False,True,5,6.0,3.0,1.0,False,2.0,13,14.0,42.0,43.0,-29.0
43,J2w,Hidenoumi,Tokyo,11.06.1989,184.0,156.2,2020,1,8,7,0,J1w,False,False,6,6.0,2.0,1.0,True,1.0,45,46.0,43.0,44.0,2.0
44,J1w,Chiyoshoma,Mongolia,20.07.1991,183.0,118.2,2020,1,7,8,0,J2e,False,True,6,6.0,1.0,2.0,False,-1.0,43,44.0,44.0,45.0,-1.0
45,J5e,Wakatakakage,Fukushima,06.12.1994,180.0,115.0,2020,1,9,6,0,J2w,True,False,6,6.0,5.0,2.0,True,3.0,50,51.0,45.0,46.0,5.0
46,J13w,Terunofuji,Mongolia,29.11.1991,192.0,158.5,2020,1,13,2,0,J3e,False,True,6,6.0,13.0,3.0,True,10.0,67,68.0,46.0,47.0,21.0
47,J5w,Daishoho,Mongolia,28.08.1994,182.0,140.0,2020,1,9,6,0,J3w,False,False,6,6.0,5.0,3.0,True,2.0,51,52.0,47.0,48.0,4.0
48,J6w,Tobizaru,Tokyo,24.04.1992,174.0,110.0,2020,1,9,6,0,J4e,False,True,6,6.0,6.0,4.0,True,2.0,53,54.0,48.0,49.0,5.0
49,J3e,Daishomaru,Osaka,10.07.1991,175.0,153.0,2020,1,7,8,0,J4w,True,False,6,6.0,3.0,4.0,False,-1.0,46,47.0,49.0,50.0,-3.0
50,M13w,Kotoeko,Miyazaki,20.11.1991,175.5,111.6,2020,1,2,13,0,J5e,False,True,5,6.0,13.0,5.0,False,8.0,33,34.0,50.0,51.0,-17.0
51,J9e,Kyokushuho,Mongolia,09.08.1988,191.0,149.6,2020,1,10,5,0,J5w,True,False,6,6.0,9.0,5.0,True,4.0,58,59.0,51.0,52.0,7.0
52,J8w,Kotoshoho,Chiba,26.08.1999,188.0,144.0,2020,1,9,6,0,J6e,False,True,6,6.0,8.0,6.0,True,2.0,57,58.0,52.0,53.0,5.0
53,J9w,Akua,Ibaraki,06.11.1990,181.0,162.6,2020,1,9,6,0,J6w,False,False,6,6.0,9.0,6.0,True,3.0,59,60.0,53.0,54.0,6.0
54,J4w,Mitoryu,Mongolia,25.04.1994,187.0,182.0,2020,1,6,9,0,J7e,False,True,6,6.0,4.0,7.0,False,-3.0,49,50.0,54.0,55.0,-5.0
55,J12w,Churanoumi,Okinawa,06.05.1993,176.0,126.0,2020,1,8,7,0,J7w,False,False,6,6.0,12.0,7.0,True,5.0,65,66.0,55.0,56.0,10.0
56,J8e,Kyokutaisei,Hokkaido,18.10.1989,184.0,128.2,2020,1,7,8,0,J8e,True,True,6,6.0,8.0,8.0,False,0.0,56,57.0,56.0,57.0,0.0
57,J7e,Ichinojo,Mongolia,07.04.1993,190.0,183.0,2020,1,6,9,0,J8w,True,False,6,6.0,7.0,8.0,False,-1.0,54,55.0,57.0,58.0,-3.0
58,J3w,Kizakiumi,Okinawa,05.05.1995,174.0,146.0,2020,1,3,12,0,J9e,False,True,6,6.0,3.0,9.0,False,-6.0,47,48.0,58.0,59.0,-11.0
59,J14e,Hoshoryu,Mongolia,22.05.1999,185.0,107.0,2020,1,8,7,0,J9w,True,False,6,6.0,14.0,9.0,True,5.0,68,69.0,59.0,60.0,9.0
60,J7w,Yago,Hokkaido,08.07.1994,187.0,172.0,2020,1,4,11,0,J10e,False,True,6,6.0,7.0,10.0,False,-3.0,55,56.0,60.0,61.0,-5.0
61,J10w,Takagenji,Tochigi,13.05.1997,186.0,126.2,2020,1,7,8,0,J10w,False,False,6,6.0,10.0,10.0,False,0.0,61,62.0,61.0,62.0,0.0
62,J12e,Asagyokusei,Mie,29.05.1993,180.0,135.0,2020,1,7,8,0,J12w,True,False,6,6.0,12.0,12.0,False,0.0,64,65.0,62.0,63.0,2.0
63,J1e,Tomokaze,Kanagawa,02.12.1994,183.0,168.0,2020,1,0,0,15,J13w,True,False,6,6.0,1.0,13.0,False,-12.0,42,43.0,63.0,64.0,-21.0
64,J13e,Chiyootori,Kagoshima,11.10.1992,179.0,178.5,2020,1,6,9,0,J14e,True,True,6,6.0,13.0,14.0,False,-1.0,66,67.0,64.0,65.0,2.0
65,O1w,Goeido,Osaka,06.04.1986,183.0,158.2,2020,1,5,10,0,,False,,2,,1.0,,False,,3,4.0,,,
66,J10e,Sokokurai,China,09.01.1984,185.0,131.6,2020,1,4,11,0,,True,,6,,10.0,,False,,60,61.0,,,
67,J11e,Toyonoshima,Kochi,29.06.1983,169.0,149.4,2020,1,4,11,0,,True,,6,,11.0,,False,,62,63.0,,,
68,J11w,Irodori,Saitama,10.03.1992,179.0,131.2,2020,1,1,6,8,,False,,6,,11.0,,False,,63,64.0,,,
69,J14w,Sakigake,Mongolia,05.04.1986,180.0,155.3,2020,1,6,9,0,,False,,6,,14.0,,False,,69,70.0,,,
70,Y1e,Hakuho,Mongolia,11.03.1985,193.0,150.7,2020,3,13,2,0,Y1e,True,True,1,1.0,1.0,1.0,True,0.0,70,1.0,70.0,1.0,0.0
71,Y1wYO,Kakuryu,Mongolia,10.08.1985,186.0,150.0,2020,3,12,3,0,Y1w,False,False,1,1.0,1.0,1.0,True,0.0,71,2.0,71.0,2.0,0.0
72,O1e,Takakeisho,Hyogo,05.08.1996,173.0,149.0,2020,3,7,8,0,O1e,True,True,2,2.0,1.0,1.0,False,0.0,72,3.0,72.0,3.0,0.0
73,S1e,Asanoyama,Toyama,01.03.1994,189.0,158.0,2020,3,11,4,0,O1w,True,False,3,2.0,1.0,1.0,True,0.0,73,4.0,73.0,4.0,0.0
74,S1w,Shodai,Kumamoto,05.11.1991,182.0,150.0,2020,3,8,7,0,S1e,False,True,3,3.0,1.0,1.0,True,0.0,74,5.0,74.0,5.0,0.0
75,M3w,Mitakeumi,Nagano,25.12.1992,179.0,149.0,2020,3,10,5,0,S1w,False,False,5,3.0,3.0,1.0,True,2.0,82,13.0,75.0,6.0,7.0
76,M1e,Daieisho,Saitama,10.11.1993,179.0,135.7,2020,3,8,7,0,K1e,True,True,5,4.0,1.0,1.0,True,0.0,77,8.0,76.0,7.0,1.0
77,M2e,Okinoumi,Shimane,29.07.1985,190.0,154.0,2020,3,8,7,0,K1w,True,False,5,4.0,2.0,1.0,True,1.0,79,10.0,77.0,8.0,2.0
78,K1w,Endo,Ishikawa,19.10.1990,183.0,145.6,2020,3,7,8,0,M1e,False,True,4,5.0,1.0,1.0,False,0.0,76,7.0,78.0,9.0,-2.0
79,M3e,Yutakayama,Niigata,22.09.1993,185.0,171.0,2020,3,8,7,0,M1w,True,False,5,5.0,3.0,1.0,True,2.0,81,12.0,79.0,10.0,2.0
80,M9e,Takanosho,Chiba,14.11.1994,181.5,128.5,2020,3,12,3,0,M2e,True,True,5,5.0,9.0,2.0,True,7.0,93,24.0,80.0,11.0,13.0
81,M5w,Onosho,Aomori,04.07.1996,176.0,148.5,2020,3,9,6,0,M2w,False,False,5,5.0,5.0,2.0,True,3.0,86,17.0,81.0,12.0,5.0
82,M7e,Takarafuji,Aomori,18.02.1987,186.0,161.1,2020,3,9,6,0,M3e,True,True,5,5.0,7.0,3.0,True,4.0,89,20.0,82.0,13.0,7.0
83,M8w,Kiribayama,Mongolia,24.04.1996,184.0,94.0,2020,3,9,6,0,M3w,False,False,5,5.0,8.0,3.0,True,5.0,92,23.0,83.0,14.0,9.0
84,M6w,Kagayaki,Ishikawa,01.06.1994,193.0,144.3,2020,3,8,7,0,M4e,False,True,5,5.0,6.0,4.0,True,2.0,88,19.0,84.0,15.0,4.0
85,M13w,Aoiyama,Bulgaria,19.06.1986,192.0,192.6,2020,3,11,4,0,M4w,False,False,5,5.0,13.0,4.0,True,9.0,102,33.0,85.0,16.0,17.0
86,M4w,Abi,Saitama,04.05.1994,185.0,121.0,2020,3,7,8,0,M5e,False,True,5,5.0,4.0,5.0,False,-1.0,84,15.0,86.0,17.0,-2.0
87,K1e,Hokutofuji,Saitama,15.07.1992,182.0,158.0,2020,3,4,11,0,M5w,True,False,4,5.0,1.0,5.0,False,-4.0,75,6.0,87.0,18.0,-12.0
88,M4e,Enho,Ishikawa,18.10.1994,169.0,95.0,2020,3,6,9,0,M6e,True,True,5,5.0,4.0,6.0,False,-2.0,83,14.0,88.0,19.0,-5.0
89,M5e,Ryuden,Yamanashi,10.11.1990,192.0,145.0,2020,3,6,9,0,M6w,True,False,5,5.0,5.0,6.0,False,-1.0,85,16.0,89.0,20.0,-4.0
90,M11w,Terutsuyoshi,Hyogo,17.01.1995,169.0,112.0,2020,3,9,6,0,M7e,False,True,5,5.0,11.0,7.0,True,4.0,98,29.0,90.0,21.0,8.0
91,M2w,Tokushoryu,Nara,22.08.1986,182.0,170.6,2020,3,4,11,0,M7w,False,False,5,5.0,2.0,7.0,False,-5.0,80,11.0,91.0,22.0,-11.0
92,M12e,Ishiura,Tottori,10.01.1990,173.0,103.6,2020,3,9,6,0,M8e,True,True,5,5.0,12.0,8.0,True,4.0,99,30.0,92.0,23.0,7.0
93,M11e,Chiyotairyu,Tokyo,14.11.1988,182.0,166.8,2020,3,8,7,0,M8w,True,False,5,5.0,11.0,8.0,True,3.0,97,28.0,93.0,24.0,4.0
94,M7w,Tamawashi,Mongolia,16.11.1984,190.0,161.0,2020,3,6,9,0,M9e,False,True,5,5.0,7.0,9.0,False,-2.0,90,21.0,94.0,25.0,-4.0
95,M12w,Ikioi,Osaka,11.10.1986,194.0,157.0,2020,3,8,7,0,M9w,False,False,5,5.0,12.0,9.0,True,3.0,100,31.0,95.0,26.0,5.0
96,M14e,Kaisei,Brazil,18.12.1986,195.0,187.8,2020,3,8,7,0,M10e,True,True,5,5.0,14.0,10.0,True,4.0,103,34.0,96.0,27.0,7.0
97,M6e,Myogiryu,Hyogo,22.10.1986,187.0,148.0,2020,3,4,11,0,M10w,True,False,5,5.0,6.0,10.0,False,-4.0,87,18.0,97.0,28.0,-10.0
98,M16w,Shimanoumi,Mie,11.07.1989,178.0,160.8,2020,3,9,6,0,M11e,False,True,5,5.0,16.0,11.0,True,5.0,108,39.0,98.0,29.0,10.0
99,M9w,Tochinoshin,Georgia,13.10.1987,192.0,162.0,2020,3,6,9,0,M11w,False,False,5,5.0,9.0,11.0,False,-2.0,94,25.0,99.0,30.0,-5.0
100,M10e,Sadanoumi,Kumamoto,11.05.1987,184.0,131.2,2020,3,6,9,0,M12e,True,True,5,5.0,10.0,12.0,False,-2.0,95,26.0,100.0,31.0,-5.0
101,M8e,Shohozan,Fukuoka,09.02.1984,177.0,134.5,2020,3,4,11,0,M12w,True,False,5,5.0,8.0,12.0,False,-4.0,91,22.0,101.0,32.0,-10.0
102,M1w,Takayasu,Ibaraki,28.02.1990,187.0,163.0,2020,3,0,5,10,M13e,False,True,5,5.0,1.0,13.0,False,-12.0,78,9.0,102.0,33.0,-24.0
103,M18e,Kotonowaka,Chiba,19.11.1997,186.0,147.0,2020,3,9,6,0,M13w,True,False,5,5.0,18.0,13.0,True,5.0,111,42.0,103.0,34.0,8.0
104,M13e,Kotoshogiku,Fukuoka,30.01.1984,180.0,177.0,2020,3,7,8,0,M14e,True,True,5,5.0,13.0,14.0,False,-1.0,101,32.0,104.0,35.0,-3.0
105,J2w,Wakatakakage,Fukushima,06.12.1994,180.0,115.0,2020,3,10,5,0,M14w,False,False,6,5.0,2.0,14.0,True,-12.0,115,46.0,105.0,36.0,10.0
106,J6e,Kotoshoho,Chiba,26.08.1999,188.0,144.0,2020,3,12,3,0,M15e,True,True,6,5.0,6.0,15.0,True,-9.0,122,53.0,106.0,37.0,16.0
107,M15w,Chiyomaru,Kagoshima,17.04.1991,178.0,176.3,2020,3,7,6,2,M15w,False,False,5,5.0,15.0,15.0,False,0.0,106,37.0,107.0,38.0,-1.0
108,M14w,Nishikigi,Iwate,25.08.1990,184.5,149.5,2020,3,6,9,0,M16e,False,True,5,5.0,14.0,16.0,False,-2.0,104,35.0,108.0,39.0,-4.0
109,J5e,Kotoeko,Miyazaki,20.11.1991,175.5,111.6,2020,3,11,4,0,M16w,True,False,6,5.0,5.0,16.0,True,-11.0,120,51.0,109.0,40.0,11.0
110,J3e,Terunofuji,Mongolia,29.11.1991,192.0,158.5,2020,3,10,5,0,M17e,True,True,6,5.0,3.0,17.0,True,-14.0,116,47.0,110.0,41.0,6.0
111,J1e,Kotoyuki,Kagawa,02.04.1991,176.0,162.4,2020,3,8,7,0,M17w,True,False,6,5.0,1.0,17.0,True,-16.0,112,43.0,111.0,42.0,1.0
112,M17e,Meisei,Kagoshima,24.07.1995,180.0,120.0,2020,3,7,8,0,J1e,True,True,5,6.0,17.0,1.0,False,16.0,109,40.0,112.0,43.0,-3.0
113,J2e,Chiyoshoma,Mongolia,20.07.1991,183.0,118.2,2020,3,8,7,0,J1w,True,False,6,6.0,2.0,1.0,True,1.0,114,45.0,113.0,44.0,1.0
114,J4e,Tobizaru,Tokyo,24.04.1992,174.0,110.0,2020,3,10,5,0,J2e,True,True,6,6.0,4.0,2.0,True,2.0,118,49.0,114.0,45.0,4.0
115,M10w,Tochiozan,Kochi,09.03.1987,189.0,154.0,2020,3,3,12,0,J2w,False,False,5,6.0,10.0,2.0,False,8.0,96,27.0,115.0,46.0,-19.0
116,M16e,Azumaryu,Mongolia,12.05.1987,192.0,147.2,2020,3,5,10,0,J3e,True,True,5,6.0,16.0,3.0,False,13.0,107,38.0,116.0,47.0,-9.0
117,J5w,Kyokushuho,Mongolia,09.08.1988,191.0,149.6,2020,3,8,7,0,J3w,False,False,6,6.0,5.0,3.0,True,2.0,121,52.0,117.0,48.0,4.0
118,M17w,Daiamami,Kagoshima,15.12.1992,185.0,167.0,2020,3,5,10,0,J4e,False,True,5,6.0,17.0,4.0,False,13.0,110,41.0,118.0,49.0,-8.0
119,J1w,Hidenoumi,Tokyo,11.06.1989,184.0,156.2,2020,3,6,9,0,J4w,False,False,6,6.0,1.0,4.0,False,-3.0,113,44.0,119.0,50.0,-6.0
120,J8e,Kyokutaisei,Hokkaido,18.10.1989,184.0,128.2,2020,3,9,6,0,J5e,True,True,6,6.0,8.0,5.0,True,3.0,126,57.0,120.0,51.0,6.0
121,J8w,Ichinojo,Mongolia,07.04.1993,190.0,183.0,2020,3,9,6,0,J5w,False,False,6,6.0,8.0,5.0,True,3.0,127,58.0,121.0,52.0,6.0
122,J9w,Hoshoryu,Mongolia,22.05.1999,185.0,107.0,2020,3,8,7,0,J6e,False,True,6,6.0,9.0,6.0,True,3.0,129,60.0,122.0,53.0,7.0
123,J12e,Hakuyozan,Yamagata,13.04.1995,185.0,145.8,2020,3,9,6,0,J6w,True,False,6,6.0,12.0,6.0,True,6.0,134,65.0,123.0,54.0,11.0
124,J4w,Daishomaru,Osaka,10.07.1991,175.0,153.0,2020,3,5,10,0,J7e,False,True,6,6.0,4.0,7.0,False,-3.0,119,50.0,124.0,55.0,-5.0
125,M15e,Tsurugisho,Tokyo,27.07.1991,184.0,154.0,2020,3,1,4,10,J7w,True,False,5,6.0,15.0,7.0,False,8.0,105,36.0,125.0,56.0,-20.0
126,J11e,Wakamotoharu,Fukushima,05.10.1993,185.0,127.2,2020,3,8,7,0,J8e,True,True,6,6.0,11.0,8.0,True,3.0,132,63.0,126.0,57.0,6.0
127,J14e,Chiyootori,Kagoshima,11.10.1992,179.0,178.5,2020,3,9,6,0,J8w,True,False,6,6.0,14.0,8.0,True,6.0,138,69.0,127.0,58.0,11.0
128,J14w,Akiseyama,Aichi,18.07.1985,183.0,172.6,2020,3,9,6,0,J9e,False,True,6,6.0,14.0,9.0,True,5.0,139,70.0,128.0,59.0,11.0
129,J7w,Churanoumi,Okinawa,06.05.1993,176.0,126.0,2020,3,6,9,0,J9w,False,False,6,6.0,7.0,9.0,False,-2.0,125,56.0,129.0,60.0,-4.0
130,J3w,Daishoho,Mongolia,28.08.1994,182.0,140.0,2020,3,4,11,0,J10e,False,True,6,6.0,3.0,10.0,False,-7.0,117,48.0,130.0,61.0,-13.0
131,J9e,Kizakiumi,Okinawa,05.05.1995,174.0,146.0,2020,3,6,9,0,J11w,True,False,6,6.0,9.0,11.0,False,-2.0,128,59.0,131.0,62.0,-3.0
132,J11w,Midorifuji,Shizuoka,30.08.1996,168.0,91.0,2020,3,7,8,0,J12e,False,True,6,6.0,11.0,12.0,False,-1.0,133,64.0,132.0,63.0,1.0
133,J10w,Takagenji,Tochigi,13.05.1997,186.0,126.2,2020,3,6,9,0,J13e,False,True,6,6.0,10.0,13.0,False,-3.0,131,62.0,133.0,64.0,-2.0
134,J6w,Akua,Ibaraki,06.11.1990,181.0,162.6,2020,3,4,11,0,J13w,False,False,6,6.0,6.0,13.0,False,-7.0,123,54.0,134.0,65.0,-11.0
135,J13e,Chiyonoumi,Kochi,11.01.1993,182.0,128.0,2020,3,7,8,0,J14e,True,True,6,6.0,13.0,14.0,False,-1.0,136,67.0,135.0,66.0,1.0
136,J7e,Mitoryu,Mongolia,25.04.1994,187.0,182.0,2020,3,4,11,0,J14w,True,False,6,6.0,7.0,14.0,False,-7.0,124,55.0,136.0,67.0,-12.0
137,J10e,Yago,Hokkaido,08.07.1994,187.0,172.0,2020,3,4,11,0,,True,,6,,10.0,,False,,130,61.0,,,
138,J12w,Asagyokusei,Mie,29.05.1993,180.0,135.0,2020,3,5,10,0,,False,,6,,12.0,,False,,135,66.0,,,
139,J13w,Tomokaze,Kanagawa,02.12.1994,183.0,168.0,2020,3,0,0,15,,False,,6,,13.0,,False,,137,68.0,,,
140,Y1e,Hakuho,Mongolia,11.03.1985,193.0,150.7,2020,7,10,3,2,Y1e,True,True,1,1.0,1.0,1.0,True,0.0,140,1.0,140.0,1.0,0.0
141,Y1w,Kakuryu,Mongolia,10.08.1985,186.0,150.0,2020,7,0,2,13,Y1w,False,False,1,1.0,1.0,1.0,False,0.0,141,2.0,141.0,2.0,0.0
142,O1w,Asanoyama,Toyama,01.03.1994,189.0,158.0,2020,7,12,3,0,O1e,False,True,2,2.0,1.0,1.0,True,0.0,143,4.0,142.0,3.0,1.0
143,O1e,Takakeisho,Hyogo,05.08.1996,173.0,149.0,2020,7,8,4,3,O1w,True,False,2,2.0,1.0,1.0,True,0.0,142,3.0,143.0,4.0,-1.0
144,S1e,Shodai,Kumamoto,05.11.1991,182.0,150.0,2020,7,11,4,0,S1e,True,True,3,3.0,1.0,1.0,True,0.0,144,5.0,144.0,5.0,0.0
145,S1w,Mitakeumi,Nagano,25.12.1992,179.0,149.0,2020,7,11,4,0,S1w,False,False,3,3.0,1.0,1.0,True,0.0,145,6.0,145.0,6.0,0.0
146,K1e,Daieisho,Saitama,10.11.1993,179.0,135.7,2020,7,11,4,0,S2e,True,True,4,3.0,1.0,2.0,True,-1.0,146,7.0,146.0,7.0,0.0
147,K1w,Okinoumi,Shimane,29.07.1985,190.0,154.0,2020,7,9,6,0,K1e,False,True,4,4.0,1.0,1.0,True,0.0,147,8.0,147.0,8.0,0.0
148,M1e,Endo,Ishikawa,19.10.1990,183.0,145.6,2020,7,8,7,0,K1w,True,False,5,4.0,1.0,1.0,True,0.0,148,9.0,148.0,9.0,0.0
149,M17e,Terunofuji,Mongolia,29.11.1991,192.0,158.5,2020,7,13,2,0,M1e,True,True,5,5.0,17.0,1.0,True,16.0,180,41.0,149.0,10.0,31.0
150,M2e,Takanosho,Chiba,14.11.1994,181.5,128.5,2020,7,8,7,0,M1w,True,False,5,5.0,2.0,1.0,True,1.0,150,11.0,150.0,11.0,0.0
151,M5w,Hokutofuji,Saitama,15.07.1992,182.0,158.0,2020,7,9,6,0,M2e,False,True,5,5.0,5.0,2.0,True,3.0,157,18.0,151.0,12.0,6.0
