rank,name,pob,stable,birthdate,height,weight,year,month
M13w,Kotoeko,Miyazaki,Sadogatake,20.11.1991,175.5,111.6,2020,01
M14e,Terutsuyoshi,Hyogo,Isegahama,17.01.1995,169,112,2020,01
M14w,Shimanoumi,Mie,Kise,11.07.1989,178,160.8,2020,01
M15e,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2020,01
M15w,Ikioi,Osaka,Isenoumi,11.10.1986,194,157,2020,01
M16e,Tochiozan,Kochi,Kasugano,09.03.1987,189,154,2020,01
M16w,Kaisei,Brazil,Tomozuna,18.12.1986,195,187.8,2020,01
M17e,Kiribayama,Mongolia,Michinoku,24.04.1996,184,94,2020,01
M17w,Tokushoryu,Nara,Kise,22.08.1986,182,170.6,2020,01
J1e,Tomokaze,Kanagawa,Oguruma,02.12.1994,183,168,2020,01
J1w,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2020,01
J2e,Kotonowaka,Chiba,Sadogatake,19.11.1997,186,147,2020,01
J2w,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2020,01
J3e,Daishomaru,Osaka,Oitekaze,10.07.1991,175,153,2020,01
J3w,Kizakiumi,Okinawa,Kise,05.05.1995,174,146,2020,01
J4e,Nishikigi,Iwate,Isenoumi,25.08.1990,184.5,149.5,2020,01
J4w,Mitoryu,Mongolia,Nishikido,25.04.1994,187,182,2020,01
J5e,Wakatakakage,Fukushima,Arashio,06.12.1994,180,115,2020,01
J5w,Daishoho,Mongolia,Oitekaze,28.08.1994,182,140,2020,01
J6e,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2020,01
J6w,Tobizaru,Tokyo,Oitekaze,24.04.1992,174,110,2020,01
J7e,Ichinojo,Mongolia,Minato,07.04.1993,190,183,2020,01
J7w,Yago,Hokkaido,Oguruma,08.07.1994,187,172,2020,01
J8e,Kyokutaisei,Hokkaido,Tomozuna,18.10.1989,184,128.2,2020,01
J8w,Kotoshoho,Chiba,Sadogatake,26.08.1999,188,144,2020,01
J9e,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2020,01
J9w,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2020,01
J10e,Sokokurai,China,Arashio,09.01.1984,185,131.6,2020,01
J10w,Takagenji,Tochigi,Chiganoura,13.05.1997,186,126.2,2020,01
J11e,Toyonoshima,Kochi,Tokitsukaze,29.06.1983,169,149.4,2020,01
J11w,Irodori,Saitama,Shikoroyama,10.03.1992,179,131.2,2020,01
J12e,Asagyokusei,Mie,Takasago,29.05.1993,180,135,2020,01
J12w,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2020,01
J13e,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2020,01
J13w,Terunofuji,Mongolia,Isegahama,29.11.1991,192,158.5,2020,01
J14e,Hoshoryu,Mongolia,Tatsunami,22.05.1999,185,107,2020,01
J14w,Sakigake,Mongolia,Shibatayama,05.04.1986,180,155.3,2020,01
Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2020,03
Y1wYO,Kakuryu,Mongolia,Michinoku,10.08.1985,186,150,2020,03
O1e,Takakeisho,Hyogo,Chiganoura,05.08.1996,173,149,2020,03
S1e,Asanoyama,Toyama,Takasago,01.03.1994,189,158,2020,03
S1w,Shodai,Kumamoto,Tokitsukaze,05.11.1991,182,150,2020,03
K1e,Hokutofuji,Saitama,Hakkaku,15.07.1992,182,158,2020,03
K1w,Endo,Ishikawa,Oitekaze,19.10.1990,183,145.6,2020,03
M1e,Daieisho,Saitama,Oitekaze,10.11.1993,179,135.7,2020,03
M1w,Takayasu,Ibaraki,Tagonoura,28.02.1990,187,163,2020,03
M2e,Okinoumi,Shimane,Hakkaku,29.07.1985,190,154,2020,03
M2w,Tokushoryu,Nara,Kise,22.08.1986,182,170.6,2020,03
M3e,Yutakayama,Niigata,Tokitsukaze,22.09.1993,185,171,2020,03
M3w,Mitakeumi,Nagano,Dewanoumi,25.12.1992,179,149,2020,03
M4e,Enho,Ishikawa,Miyagino,18.10.1994,169,95,2020,03
M4w,Abi,Saitama,Shikoroyama,04.05.1994,185,121,2020,03
M5e,Ryuden,Yamanashi,Takadagawa,10.11.1990,192,145,2020,03
M5w,Onosho,Aomori,Onomatsu,04.07.1996,176,148.5,2020,03
M6e,Myogiryu,Hyogo,Sakaigawa,22.10.1986,187,148,2020,03
M6w,Kagayaki,Ishikawa,Takadagawa,01.06.1994,193,144.3,2020,03
M7e,Takarafuji,Aomori,Isegahama,18.02.1987,186,161.1,2020,03
M7w,Tamawashi,Mongolia,Kataonami,16.11.1984,190,161,2020,03
M8e,Shohozan,Fukuoka,Nishonoseki,09.02.1984,177,134.5,2020,03
M8w,Kiribayama,Mongolia,Michinoku,24.04.1996,184,94,2020,03
M9e,Takanosho,Chiba,Chiganoura,14.11.1994,181.5,128.5,2020,03
M9w,Tochinoshin,Georgia,Kasugano,13.10.1987,192,162,2020,03
M10e,Sadanoumi,Kumamoto,Sakaigawa,11.05.1987,184,131.2,2020,03
M10w,Tochiozan,Kochi,Kasugano,09.03.1987,189,154,2020,03
M11e,Chiyotairyu,Tokyo,Kokonoe,14.11.1988,182,166.8,2020,03
M11w,Terutsuyoshi,Hyogo,Isegahama,17.01.1995,169,112,2020,03
M12e,Ishiura,Tottori,Miyagino,10.01.1990,173,103.6,2020,03
M12w,Ikioi,Osaka,Isenoumi,11.10.1986,194,157,2020,03
M13e,Kotoshogiku,Fukuoka,Sadogatake,30.01.1984,180,177,2020,03
M13w,Aoiyama,Bulgaria,Kasugano,19.06.1986,192,192.6,2020,03
M14e,Kaisei,Brazil,Tomozuna,18.12.1986,195,187.8,2020,03
M14w,Nishikigi,Iwate,Isenoumi,25.08.1990,184.5,149.5,2020,03
M15e,Tsurugisho,Tokyo,Oitekaze,27.07.1991,184,154,2020,03
M15w,Chiyomaru,Kagoshima,Kokonoe,17.04.1991,178,176.3,2020,03
M16e,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2020,03
M16w,Shimanoumi,Mie,Kise,11.07.1989,178,160.8,2020,03
M17e,Meisei,Kagoshima,Tatsunami,24.07.1995,180,120,2020,03
M17w,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2020,03
M18e,Kotonowaka,Chiba,Sadogatake,19.11.1997,186,147,2020,03
J1e,Kotoyuki,Kagawa,Sadogatake,02.04.1991,176,162.4,2020,03
J1w,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2020,03
J2e,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2020,03
J2w,Wakatakakage,Fukushima,Arashio,06.12.1994,180,115,2020,03
J3e,Terunofuji,Mongolia,Isegahama,29.11.1991,192,158.5,2020,03
J3w,Daishoho,Mongolia,Oitekaze,28.08.1994,182,140,2020,03
J4e,Tobizaru,Tokyo,Oitekaze,24.04.1992,174,110,2020,03
J4w,Daishomaru,Osaka,Oitekaze,10.07.1991,175,153,2020,03
J5e,Kotoeko,Miyazaki,Sadogatake,20.11.1991,175.5,111.6,2020,03
J5w,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2020,03
J6e,Kotoshoho,Chiba,Sadogatake,26.08.1999,188,144,2020,03
J6w,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2020,03
J7e,Mitoryu,Mongolia,Nishikido,25.04.1994,187,182,2020,03
J7w,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2020,03
J8e,Kyokutaisei,Hokkaido,Tomozuna,18.10.1989,184,128.2,2020,03
J8w,Ichinojo,Mongolia,Minato,07.04.1993,190,183,2020,03
J9e,Kizakiumi,Okinawa,Kise,05.05.1995,174,146,2020,03
J9w,Hoshoryu,Mongolia,Tatsunami,22.05.1999,185,107,2020,03
J10e,Yago,Hokkaido,Oguruma,08.07.1994,187,172,2020,03
J10w,Takagenji,Tochigi,Chiganoura,13.05.1997,186,126.2,2020,03
J11e,Wakamotoharu,Fukushima,Arashio,05.10.1993,185,127.2,2020,03
J11w,Midorifuji,Shizuoka,Isegahama,30.08.1996,168,91,2020,03
J12e,Hakuyozan,Yamagata,Takadagawa,13.04.1995,185,145.8,2020,03
J12w,Asagyokusei,Mie,Takasago,29.05.1993,180,135,2020,03
J13e,Chiyonoumi,Kochi,Kokonoe,11.01.1993,182,128,2020,03
J13w,Tomokaze,Kanagawa,Oguruma,02.12.1994,183,168,2020,03
J14e,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2020,03
J14w,Akiseyama,Aichi,Kise,18.07.1985,183,172.6,2020,03
Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2020,07
Y1w,Kakuryu,Mongolia,Michinoku,10.08.1985,186,150,2020,07
O1e,Takakeisho,Hyogo,Chiganoura,05.08.1996,173,149,2020,07
O1w,Asanoyama,Toyama,Takasago,01.03.1994,189,158,2020,07
S1e,Shodai,Kumamoto,Tokitsukaze,05.11.1991,182,150,2020,07
S1w,Mitakeumi,Nagano,Dewanoumi,25.12.1992,179,149,2020,07
K1e,Daieisho,Saitama,Oitekaze,10.11.1993,179,135.7,2020,07
K1w,Okinoumi,Shimane,Hakkaku,29.07.1985,190,154,2020,07
M1e,Endo,Ishikawa,Oitekaze,19.10.1990,183,145.6,2020,07
M1w,Yutakayama,Niigata,Tokitsukaze,22.09.1993,185,171,2020,07
M2e,Takanosho,Chiba,Chiganoura,14.11.1994,181.5,128.5,2020,07
M2w,Onosho,Aomori,Onomatsu,04.07.1996,176,148.5,2020,07
M3e,Takarafuji,Aomori,Isegahama,18.02.1987,186,161.1,2020,07
M3w,Kiribayama,Mongolia,Michinoku,24.04.1996,184,94,2020,07
M4e,Kagayaki,Ishikawa,Takadagawa,01.06.1994,193,144.3,2020,07
M4w,Aoiyama,Bulgaria,Kasugano,19.06.1986,192,192.6,2020,07
M5e,Abi,Saitama,Shikoroyama,04.05.1994,185,121,2020,07
M5w,Hokutofuji,Saitama,Hakkaku,15.07.1992,182,158,2020,07
M6e,Enho,Ishikawa,Miyagino,18.10.1994,169,95,2020,07
M6w,Ryuden,Yamanashi,Takadagawa,10.11.1990,192,145,2020,07
M7e,Terutsuyoshi,Hyogo,Isegahama,17.01.1995,169,112,2020,07
M7w,Tokushoryu,Nara,Kise,22.08.1986,182,170.6,2020,07
M8e,Ishiura,Tottori,Miyagino,10.01.1990,173,103.6,2020,07
M8w,Chiyotairyu,Tokyo,Kokonoe,14.11.1988,182,166.8,2020,07
M9e,Tamawashi,Mongolia,Kataonami,16.11.1984,190,161,2020,07
M9w,Ikioi,Osaka,Isenoumi,11.10.1986,194,157,2020,07
M10e,Kaisei,Brazil,Tomozuna,18.12.1986,195,187.8,2020,07
M10w,Myogiryu,Hyogo,Sakaigawa,22.10.1986,187,148,2020,07
M11e,Shimanoumi,Mie,Kise,11.07.1989,178,160.8,2020,07
M11w,Tochinoshin,Georgia,Kasugano,13.10.1987,192,162,2020,07
M12e,Sadanoumi,Kumamoto,Sakaigawa,11.05.1987,184,131.2,2020,07
M12w,Shohozan,Fukuoka,Nishonoseki,09.02.1984,177,134.5,2020,07
M13e,Takayasu,Ibaraki,Tagonoura,28.02.1990,187,163,2020,07
M13w,Kotonowaka,Chiba,Sadogatake,19.11.1997,186,147,2020,07
M14e,Kotoshogiku,Fukuoka,Sadogatake,30.01.1984,180,177,2020,07
M14w,Wakatakakage,Fukushima,Arashio,06.12.1994,180,115,2020,07
M15e,Kotoshoho,Chiba,Sadogatake,26.08.1999,188,144,2020,07
M15w,Chiyomaru,Kagoshima,Kokonoe,17.04.1991,178,176.3,2020,07
M16e,Nishikigi,Iwate,Isenoumi,25.08.1990,184.5,149.5,2020,07
M16w,Kotoeko,Miyazaki,Sadogatake,20.11.1991,175.5,111.6,2020,07
M17e,Terunofuji,Mongolia,Isegahama,29.11.1991,192,158.5,2020,07
M17w,Kotoyuki,Kagawa,Sadogatake,02.04.1991,176,162.4,2020,07
J1e,Meisei,Kagoshima,Tatsunami,24.07.1995,180,120,2020,07
J1w,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2020,07
J2e,Tobizaru,Tokyo,Oitekaze,24.04.1992,174,110,2020,07
J2w,Tochiozan,Kochi,Kasugano,09.03.1987,189,154,2020,07
J3e,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2020,07
J3w,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2020,07
J4e,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2020,07
J4w,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2020,07
J5e,Kyokutaisei,Hokkaido,Tomozuna,18.10.1989,184,128.2,2020,07
J5w,Ichinojo,Mongolia,Minato,07.04.1993,190,183,2020,07
J6e,Hoshoryu,Mongolia,Tatsunami,22.05.1999,185,107,2020,07
J6w,Hakuyozan,Yamagata,Takadagawa,13.04.1995,185,145.8,2020,07
J7e,Daishomaru,Osaka,Oitekaze,10.07.1991,175,153,2020,07
J7w,Tsurugisho,Tokyo,Oitekaze,27.07.1991,184,154,2020,07
J8e,Wakamotoharu,Fukushima,Arashio,05.10.1993,185,127.2,2020,07
J8w,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2020,07
J9e,Akiseyama,Aichi,Kise,18.07.1985,183,172.6,2020,07
J9w,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2020,07
J10e,Daishoho,Mongolia,Oitekaze,28.08.1994,182,140,2020,07
J10w,Asabenkei,Kanagawa,Takasago,12.02.1989,190,174.8,2020,07
J11e,Fujiazuma,Tokyo,Tamanoi,19.04.1987,182,183.6,2020,07
J11w,Kizakiumi,Okinawa,Kise,05.05.1995,174,146,2020,07
J12e,Midorifuji,Shizuoka,Isegahama,30.08.1996,168,91,2020,07
J12w,Chiyonoo,Kagoshima,Kokonoe,29.05.1991,178,149.6,2020,07
J13e,Takagenji,Tochigi,Chiganoura,13.05.1997,186,126.2,2020,07
J13w,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2020,07
J14e,Chiyonoumi,Kochi,Kokonoe,11.01.1993,182,128,2020,07
J14w,Mitoryu,Mongolia,Nishikido,25.04.1994,187,182,2020,07
Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2020,09
Y1w,Kakuryu,Mongolia,Michinoku,10.08.1985,186,150,2020,09
O1e,Asanoyama,Toyama,Takasago,01.03.1994,189,158,2020,09
O1w,Takakeisho,Hyogo,Chiganoura,05.08.1996,173,149,2020,09
S1e,Shodai,Kumamoto,Tokitsukaze,05.11.1991,182,150,2020,09
S1w,Mitakeumi,Nagano,Dewanoumi,25.12.1992,179,149,2020,09
S2e,Daieisho,Saitama,Oitekaze,10.11.1993,179,135.7,2020,09
K1e,Okinoumi,Shimane,Hakkaku,29.07.1985,190,154,2020,09
K1w,Endo,Ishikawa,Oitekaze,19.10.1990,183,145.6,2020,09
M1e,Terunofuji,Mongolia,Isegahama,29.11.1991,192,158.5,2020,09
M1w,Takanosho,Chiba,Chiganoura,14.11.1994,181.5,128.5,2020,09
M2e,Hokutofuji,Saitama,Hakkaku,15.07.1992,182,158,2020,09
M2w,Tamawashi,Mongolia,Kataonami,16.11.1984,190,161,2020,09
M3e,Myogiryu,Hyogo,Sakaigawa,22.10.1986,187,148,2020,09
M3w,Terutsuyoshi,Hyogo,Isegahama,17.01.1995,169,112,2020,09
M4e,Yutakayama,Niigata,Tokitsukaze,22.09.1993,185,171,2020,09
M4w,Tochinoshin,Georgia,Kasugano,13.10.1987,192,162,2020,09
M5e,Kiribayama,Mongolia,Michinoku,24.04.1996,184,94,2020,09
M5w,Takarafuji,Aomori,Isegahama,18.02.1987,186,161.1,2020,09
M6e,Takayasu,Ibaraki,Tagonoura,28.02.1990,187,163,2020,09
M6w,Kagayaki,Ishikawa,Takadagawa,01.06.1994,193,144.3,2020,09
M7e,Ryuden,Yamanashi,Takadagawa,10.11.1990,192,145,2020,09
M7w,Aoiyama,Bulgaria,Kasugano,19.06.1986,192,192.6,2020,09
M8e,Tokushoryu,Nara,Kise,22.08.1986,182,170.6,2020,09
M8w,Wakatakakage,Fukushima,Arashio,06.12.1994,180,115,2020,09
M9e,Enho,Ishikawa,Miyagino,18.10.1994,169,95,2020,09
M9w,Onosho,Aomori,Onomatsu,04.07.1996,176,148.5,2020,09
M10e,Sadanoumi,Kumamoto,Sakaigawa,11.05.1987,184,131.2,2020,09
M10w,Kotoeko,Miyazaki,Sadogatake,20.11.1991,175.5,111.6,2020,09
M11e,Chiyotairyu,Tokyo,Kokonoe,14.11.1988,182,166.8,2020,09
M11w,Kotoshogiku,Fukuoka,Sadogatake,30.01.1984,180,177,2020,09
M12e,Kotoshoho,Chiba,Sadogatake,26.08.1999,188,144,2020,09
M12w,Kaisei,Brazil,Tomozuna,18.12.1986,195,187.8,2020,09
M13e,Meisei,Kagoshima,Tatsunami,24.07.1995,180,120,2020,09
M13w,Ishiura,Tottori,Miyagino,10.01.1990,173,103.6,2020,09
M14e,Tobizaru,Tokyo,Oitekaze,24.04.1992,174,110,2020,09
M14w,Abi,Saitama,Shikoroyama,04.05.1994,185,121,2020,09
M15e,Shimanoumi,Mie,Kise,11.07.1989,178,160.8,2020,09
M15w,Shohozan,Fukuoka,Nishonoseki,09.02.1984,177,134.5,2020,09
M16e,Kyokutaisei,Hokkaido,Tomozuna,18.10.1989,184,128.2,2020,09
M16w,Hoshoryu,Mongolia,Tatsunami,22.05.1999,185,107,2020,09
M17e,Ichinojo,Mongolia,Minato,07.04.1993,190,183,2020,09
J1e,Ikioi,Osaka,Isenoumi,11.10.1986,194,157,2020,09
J1w,Nishikigi,Iwate,Isenoumi,25.08.1990,184.5,149.5,2020,09
J2e,Kotoyuki,Kagawa,Sadogatake,02.04.1991,176,162.4,2020,09
J2w,Kotonowaka,Chiba,Sadogatake,19.11.1997,186,147,2020,09
J3e,Wakamotoharu,Fukushima,Arashio,05.10.1993,185,127.2,2020,09
J3w,Chiyomaru,Kagoshima,Kokonoe,17.04.1991,178,176.3,2020,09
J4e,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2020,09
J4w,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2020,09
J5e,Daishomaru,Osaka,Oitekaze,10.07.1991,175,153,2020,09
J5w,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2020,09
J6e,Chiyonoo,Kagoshima,Kokonoe,29.05.1991,178,149.6,2020,09
J6w,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2020,09
J7e,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2020,09
J7w,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2020,09
J8e,Mitoryu,Mongolia,Nishikido,25.04.1994,187,182,2020,09
J8w,Tsurugisho,Tokyo,Oitekaze,27.07.1991,184,154,2020,09
J9e,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2020,09
J9w,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2020,09
J10e,Akiseyama,Aichi,Kise,18.07.1985,183,172.6,2020,09
J10w,Midorifuji,Shizuoka,Isegahama,30.08.1996,168,91,2020,09
J11e,Hakuyozan,Yamagata,Takadagawa,13.04.1995,185,145.8,2020,09
J11w,Chiyonokuni,Mie,Kokonoe,10.07.1990,184,143.8,2020,09
J12e,Kizakiumi,Okinawa,Kise,05.05.1995,174,146,2020,09
J12w,Daishoho,Mongolia,Oitekaze,28.08.1994,182,140,2020,09
J13e,Oki,Niigata,Shikoroyama,12.06.1996,182,153,2020,09
J13w,Nishikifuji,Aomori,Isegahama,22.07.1996,180,134,2020,09
J14e,Fujiazuma,Tokyo,Tamanoi,19.04.1987,182,183.6,2020,09
J14w,Kitaharima,Hyogo,Yamahibiki,28.07.1986,182,121,2020,09
Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2020,11
Y1w,Kakuryu,Mongolia,Michinoku,10.08.1985,186,150,2020,11
O1e,Takakeisho,Hyogo,Chiganoura,05.08.1996,173,149,2020,11
O1w,Asanoyama,Toyama,Takasago,01.03.1994,189,158,2020,11
O2e,Shodai,Kumamoto,Tokitsukaze,05.11.1991,182,150,2020,11
S1e,Mitakeumi,Nagano,Dewanoumi,25.12.1992,179,149,2020,11
S1w,Takanosho,Chiba,Chiganoura,14.11.1994,181.5,128.5,2020,11
K1e,Terunofuji,Mongolia,Isegahama,29.11.1991,192,158.5,2020,11
K1w,Takayasu,Ibaraki,Tagonoura,28.02.1990,187,163,2020,11
M1e,Kiribayama,Mongolia,Michinoku,24.04.1996,184,94,2020,11
M1w,Wakatakakage,Fukushima,Arashio,06.12.1994,180,115,2020,11
M2e,Onosho,Aomori,Onomatsu,04.07.1996,176,148.5,2020,11
M2w,Daieisho,Saitama,Oitekaze,10.11.1993,179,135.7,2020,11
M3e,Kagayaki,Ishikawa,Takadagawa,01.06.1994,193,144.3,2020,11
M3w,Okinoumi,Shimane,Hakkaku,29.07.1985,190,154,2020,11
M4e,Hokutofuji,Saitama,Hakkaku,15.07.1992,182,158,2020,11
M4w,Tobizaru,Tokyo,Oitekaze,24.04.1992,174,110,2020,11
M5e,Myogiryu,Hyogo,Sakaigawa,22.10.1986,187,148,2020,11
M5w,Kotoshoho,Chiba,Sadogatake,26.08.1999,188,144,2020,11
M6e,Takarafuji,Aomori,Isegahama,18.02.1987,186,161.1,2020,11
M6w,Tamawashi,Mongolia,Kataonami,16.11.1984,190,161,2020,11
M7e,Tochinoshin,Georgia,Kasugano,13.10.1987,192,162,2020,11
M7w,Endo,Ishikawa,Oitekaze,19.10.1990,183,145.6,2020,11
M8e,Aoiyama,Bulgaria,Kasugano,19.06.1986,192,192.6,2020,11
M8w,Terutsuyoshi,Hyogo,Isegahama,17.01.1995,169,112,2020,11
M9e,Tokushoryu,Nara,Kise,22.08.1986,182,170.6,2020,11
M9w,Kotoeko,Miyazaki,Sadogatake,20.11.1991,175.5,111.6,2020,11
M10e,Ryuden,Yamanashi,Takadagawa,10.11.1990,192,145,2020,11
M10w,Meisei,Kagoshima,Tatsunami,24.07.1995,180,120,2020,11
M11e,Sadanoumi,Kumamoto,Sakaigawa,11.05.1987,184,131.2,2020,11
M11w,Enho,Ishikawa,Miyagino,18.10.1994,169,95,2020,11
M12e,Yutakayama,Niigata,Tokitsukaze,22.09.1993,185,171,2020,11
M12w,Kaisei,Brazil,Tomozuna,18.12.1986,195,187.8,2020,11
M13e,Hoshoryu,Mongolia,Tatsunami,22.05.1999,185,107,2020,11
M13w,Ichinojo,Mongolia,Minato,07.04.1993,190,183,2020,11
M14e,Chiyonokuni,Mie,Kokonoe,10.07.1990,184,143.8,2020,11
M14w,Kotonowaka,Chiba,Sadogatake,19.11.1997,186,147,2020,11
M15e,Chiyotairyu,Tokyo,Kokonoe,14.11.1988,182,166.8,2020,11
M15w,Kotoyuki,Kagawa,Sadogatake,02.04.1991,176,162.4,2020,11
M16e,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2020,11
M16w,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2020,11
M17e,Shimanoumi,Mie,Kise,11.07.1989,178,160.8,2020,11
J1e,Akiseyama,Aichi,Kise,18.07.1985,183,172.6,2020,11
J1w,Chiyonoo,Kagoshima,Kokonoe,29.05.1991,178,149.6,2020,11
J2e,Midorifuji,Shizuoka,Isegahama,30.08.1996,168,91,2020,11
J2w,Shohozan,Fukuoka,Nishonoseki,09.02.1984,177,134.5,2020,11
J3e,Ishiura,Tottori,Miyagino,10.01.1990,173,103.6,2020,11
J3w,Kotoshogiku,Fukuoka,Sadogatake,30.01.1984,180,177,2020,11
J4e,Chiyomaru,Kagoshima,Kokonoe,17.04.1991,178,176.3,2020,11
J4w,Nishikigi,Iwate,Isenoumi,25.08.1990,184.5,149.5,2020,11
J5e,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2020,11
J5w,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2020,11
J6e,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2020,11
J6w,Wakamotoharu,Fukushima,Arashio,05.10.1993,185,127.2,2020,11
J7e,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2020,11
J7w,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2020,11
J8e,Kyokutaisei,Hokkaido,Tomozuna,18.10.1989,184,128.2,2020,11
J8w,Ikioi,Osaka,Isenoumi,11.10.1986,194,157,2020,11
J9e,Tsurugisho,Tokyo,Oitekaze,27.07.1991,184,154,2020,11
J9w,Daishomaru,Osaka,Oitekaze,10.07.1991,175,153,2020,11
J10e,Hakuyozan,Yamagata,Takadagawa,13.04.1995,185,145.8,2020,11
J10w,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2020,11
J11e,Mitoryu,Mongolia,Nishikido,25.04.1994,187,182,2020,11
J11w,Abi,Saitama,Shikoroyama,04.05.1994,185,121,2020,11
