rank,name,pob,birthdate,height,weight,year,month,win,loss,absent,next_rank
J4e,Chiyoshoma,Mongolia,20.07.1991,183.0,118.2,2020,9,9,6,0,M16e
M16e,Chiyoshoma,Mongolia,20.07.1991,183.0,118.2,2020,11,8,7,0,
M11e,Chiyotairyu,Tokyo,14.11.1988,182.0,166.8,2020,1,7,8,0,M11e
M11e,Chiyotairyu,Tokyo,14.11.1988,182.0,166.8,2020,3,8,7,0,M8w
M8w,Chiyotairyu,Tokyo,14.11.1988,182.0,166.8,2020,7,6,9,0,M11e
M11e,Chiyotairyu,Tokyo,14.11.1988,182.0,166.8,2020,9,5,8,2,M15e
M15e,Chiyotairyu,Tokyo,14.11.1988,182.0,166.8,2020,11,9,6,0,
J12w,Churanoumi,Okinawa,06.05.1993,176.0,126.0,2020,1,8,7,0,J7w
J7w,Churanoumi,Okinawa,06.05.1993,176.0,126.0,2020,3,6,9,0,J9w
J9w,Churanoumi,Okinawa,06.05.1993,176.0,126.0,2020,7,8,7,0,J7e
J7e,Churanoumi,Okinawa,06.05.1993,176.0,126.0,2020,9,8,7,0,J6e
J6e,Churanoumi,Okinawa,06.05.1993,176.0,126.0,2020,11,8,7,0,
J6e,Daiamami,Kagoshima,15.12.1992,185.0,167.0,2020,1,11,4,0,M17w
M17w,Daiamami,Kagoshima,15.12.1992,185.0,167.0,2020,3,5,10,0,J4e
J4e,Daiamami,Kagoshima,15.12.1992,185.0,167.0,2020,7,7,8,0,J4w
J4w,Daiamami,Kagoshima,15.12.1992,185.0,167.0,2020,9,7,8,0,J5e
J5e,Daiamami,Kagoshima,15.12.1992,185.0,167.0,2020,11,9,6,0,
K1w,Daieisho,Saitama,10.11.1993,179.0,135.7,2020,1,7,8,0,M1e
M1e,Daieisho,Saitama,10.11.1993,179.0,135.7,2020,3,8,7,0,K1e
K1e,Daieisho,Saitama,10.11.1993,179.0,135.7,2020,7,11,4,0,S2e
S2e,Daieisho,Saitama,10.11.1993,179.0,135.7,2020,9,5,10,0,M2w
M2w,Daieisho,Saitama,10.11.1993,179.0,135.7,2020,11,10,5,0,
J5w,Daishoho,Mongolia,28.08.1994,182.0,140.0,2020,1,9,6,0,J3w
J3w,Daishoho,Mongolia,28.08.1994,182.0,140.0,2020,3,4,11,0,J10e
J10e,Daishoho,Mongolia,28.08.1994,182.0,140.0,2020,7,6,9,0,J12w
J12w,Daishoho,Mongolia,28.08.1994,182.0,140.0,2020,9,6,9,0,
J3e,Daishomaru,Osaka,10.07.1991,175.0,153.0,2020,1,7,8,0,J4w
J4w,Daishomaru,Osaka,10.07.1991,175.0,153.0,2020,3,5,10,0,J7e
J7e,Daishomaru,Osaka,10.07.1991,175.0,153.0,2020,7,8,7,0,J5e
J5e,Daishomaru,Osaka,10.07.1991,175.0,153.0,2020,9,5,10,0,J9w
J9w,Daishomaru,Osaka,10.07.1991,175.0,153.0,2020,11,8,7,0,
M1e,Endo,Ishikawa,19.10.1990,183.0,145.6,2020,1,9,6,0,K1w
K1w,Endo,Ishikawa,19.10.1990,183.0,145.6,2020,3,7,8,0,M1e
M1e,Endo,Ishikawa,19.10.1990,183.0,145.6,2020,7,8,7,0,K1w
K1w,Endo,Ishikawa,19.10.1990,183.0,145.6,2020,9,3,9,3,M7w
M7w,Endo,Ishikawa,19.10.1990,183.0,145.6,2020,11,8,7,0,
M5w,Enho,Ishikawa,18.10.1994,169.0,95.0,2020,1,8,7,0,M4e
M4e,Enho,Ishikawa,18.10.1994,169.0,95.0,2020,3,6,9,0,M6e
M6e,Enho,Ishikawa,18.10.1994,169.0,95.0,2020,7,5,10,0,M9e
M9e,Enho,Ishikawa,18.10.1994,169.0,95.0,2020,9,6,9,0,M11w
M11w,Enho,Ishikawa,18.10.1994,169.0,95.0,2020,11,3,12,0,
J11e,Fujiazuma,Tokyo,19.04.1987,182.0,183.6,2020,7,6,9,0,J14e
J14e,Fujiazuma,Tokyo,19.04.1987,182.0,183.6,2020,9,0,0,15,J14e
J14e,Fujiazuma,Tokyo,19.04.1987,182.0,183.6,2020,11,0,15,0,
O1w,Goeido,Osaka,06.04.1986,183.0,158.2,2020,1,5,10,0,
Y1e,Hakuho,Mongolia,11.03.1985,193.0,150.7,2020,1,1,3,11,Y1e
Y1e,Hakuho,Mongolia,11.03.1985,193.0,150.7,2020,3,13,2,0,Y1e
Y1e,Hakuho,Mongolia,11.03.1985,193.0,150.7,2020,7,10,3,2,Y1e
Y1e,Hakuho,Mongolia,11.03.1985,193.0,150.7,2020,9,0,0,15,Y1e
Y1e,Hakuho,Mongolia,11.03.1985,193.0,150.7,2020,11,0,0,15,
J12e,Hakuyozan,Yamagata,13.04.1995,185.0,145.8,2020,3,9,6,0,J6w
J6w,Hakuyozan,Yamagata,13.04.1995,185.0,145.8,2020,7,5,10,0,J11e
J11e,Hakuyozan,Yamagata,13.04.1995,185.0,145.8,2020,9,8,7,0,J10e
J10e,Hakuyozan,Yamagata,13.04.1995,185.0,145.8,2020,11,6,9,0,
J2w,Hidenoumi,Tokyo,11.06.1989,184.0,156.2,2020,1,8,7,0,J1w
J1w,Hidenoumi,Tokyo,11.06.1989,184.0,156.2,2020,3,6,9,0,J4w
J4w,Hidenoumi,Tokyo,11.06.1989,184.0,156.2,2020,7,5,10,0,J9e
J9e,Hidenoumi,Tokyo,11.06.1989,184.0,156.2,2020,9,9,6,0,J5w
J5w,Hidenoumi,Tokyo,11.06.1989,184.0,156.2,2020,11,7,8,0,
M2e,Hokutofuji,Saitama,15.07.1992,182.0,158.0,2020,1,11,4,0,K1e
K1e,Hokutofuji,Saitama,15.07.1992,182.0,158.0,2020,3,4,11,0,M5w
M5w,Hokutofuji,Saitama,15.07.1992,182.0,158.0,2020,7,9,6,0,M2e
M2e,Hokutofuji,Saitama,15.07.1992,182.0,158.0,2020,9,6,9,0,M4e
M4e,Hokutofuji,Saitama,15.07.1992,182.0,158.0,2020,11,11,4,0,
J14e,Hoshoryu,Mongolia,22.05.1999,185.0,107.0,2020,1,8,7,0,J9w
J9w,Hoshoryu,Mongolia,22.05.1999,185.0,107.0,2020,3,8,7,0,J6e
J6e,Hoshoryu,Mongolia,22.05.1999,185.0,107.0,2020,7,10,5,0,M16w
M16w,Hoshoryu,Mongolia,22.05.1999,185.0,107.0,2020,9,8,7,0,M13e
M13e,Hoshoryu,Mongolia,22.05.1999,185.0,107.0,2020,11,7,8,0,
J7e,Ichinojo,Mongolia,07.04.1993,190.0,183.0,2020,1,6,9,0,J8w
J8w,Ichinojo,Mongolia,07.04.1993,190.0,183.0,2020,3,9,6,0,J5w
J5w,Ichinojo,Mongolia,07.04.1993,190.0,183.0,2020,7,9,6,0,M17e
M17e,Ichinojo,Mongolia,07.04.1993,190.0,183.0,2020,9,8,7,0,M13w
M13w,Ichinojo,Mongolia,07.04.1993,190.0,183.0,2020,11,8,7,0,
M15w,Ikioi,Osaka,11.10.1986,194.0,157.0,2020,1,8,7,0,M12w
M12w,Ikioi,Osaka,11.10.1986,194.0,157.0,2020,3,8,7,0,M9w
M9w,Ikioi,Osaka,11.10.1986,194.0,157.0,2020,7,3,12,0,J1e
J1e,Ikioi,Osaka,11.10.1986,194.0,157.0,2020,9,3,12,0,J8w
J8w,Ikioi,Osaka,11.10.1986,194.0,157.0,2020,11,5,10,0,
J11w,Irodori,Saitama,10.03.1992,179.0,131.2,2020,1,1,6,8,
M10w,Ishiura,Tottori,10.01.1990,173.0,103.6,2020,1,6,9,0,M12e
M12e,Ishiura,Tottori,10.01.1990,173.0,103.6,2020,3,9,6,0,M8e
M8e,Ishiura,Tottori,10.01.1990,173.0,103.6,2020,7,4,11,0,M13w
M13w,Ishiura,Tottori,10.01.1990,173.0,103.6,2020,9,4,4,7,J3e
J3e,Ishiura,Tottori,10.01.1990,173.0,103.6,2020,11,8,7,0,
J12w,Jokoryu,Tokyo,07.08.1988,187.0,162.4,2020,11,9,6,0,
M11w,Kagayaki,Ishikawa,01.06.1994,193.0,144.3,2020,1,10,5,0,M6w
M6w,Kagayaki,Ishikawa,01.06.1994,193.0,144.3,2020,3,8,7,0,M4e
M4e,Kagayaki,Ishikawa,01.06.1994,193.0,144.3,2020,7,5,10,0,M6w
M6w,Kagayaki,Ishikawa,01.06.1994,193.0,144.3,2020,9,8,7,0,M3e
M3e,Kagayaki,Ishikawa,01.06.1994,193.0,144.3,2020,11,5,10,0,
M16w,Kaisei,Brazil,18.12.1986,195.0,187.8,2020,1,8,7,0,M14e
M14e,Kaisei,Brazil,18.12.1986,195.0,187.8,2020,3,8,7,0,M10e
M10e,Kaisei,Brazil,18.12.1986,195.0,187.8,2020,7,6,9,0,M12w
M12w,Kaisei,Brazil,18.12.1986,195.0,187.8,2020,9,7,8,0,M12w
M12w,Kaisei,Brazil,18.12.1986,195.0,187.8,2020,11,6,9,0,
Y1w,Kakuryu,Mongolia,10.08.1985,186.0,150.0,2020,1,1,4,10,Y1wYO
Y1wYO,Kakuryu,Mongolia,10.08.1985,186.0,150.0,2020,3,12,3,0,Y1w
Y1w,Kakuryu,Mongolia,10.08.1985,186.0,150.0,2020,7,0,2,13,Y1w
Y1w,Kakuryu,Mongolia,10.08.1985,186.0,150.0,2020,9,0,0,15,Y1w
Y1w,Kakuryu,Mongolia,10.08.1985,186.0,150.0,2020,11,0,0,15,
M17e,Kiribayama,Mongolia,24.04.1996,184.0,94.0,2020,1,11,4,0,M8w
M8w,Kiribayama,Mongolia,24.04.1996,184.0,94.0,2020,3,9,6,0,M3w
M3w,Kiribayama,Mongolia,24.04.1996,184.0,94.0,2020,7,6,9,0,M5e
M5e,Kiribayama,Mongolia,24.04.1996,184.0,94.0,2020,9,9,4,2,M1e
M1e,Kiribayama,Mongolia,24.04.1996,184.0,94.0,2020,11,3,12,0,
J14w,Kitaharima,Hyogo,28.07.1986,182.0,121.0,2020,9,5,10,0,
J3w,Kizakiumi,Okinawa,05.05.1995,174.0,146.0,2020,1,3,12,0,J9e
J9e,Kizakiumi,Okinawa,05.05.1995,174.0,146.0,2020,3,6,9,0,J11w
J11w,Kizakiumi,Okinawa,05.05.1995,174.0,146.0,2020,7,7,8,0,J12e
J12e,Kizakiumi,Okinawa,05.05.1995,174.0,146.0,2020,9,0,0,0,
M13w,Kotoeko,Miyazaki,20.11.1991,175.5,111.6,2020,1,2,13,0,J5e
J5e,Kotoeko,Miyazaki,20.11.1991,175.5,111.6,2020,3,11,4,0,M16w
M16w,Kotoeko,Miyazaki,20.11.1991,175.5,111.6,2020,7,10,5,0,M10w
M10w,Kotoeko,Miyazaki,20.11.1991,175.5,111.6,2020,9,8,7,0,M9w
M9w,Kotoeko,Miyazaki,20.11.1991,175.5,111.6,2020,11,6,9,0,
J2e,Kotonowaka,Chiba,19.11.1997,186.0,147.0,2020,1,8,7,0,M18e
M18e,Kotonowaka,Chiba,19.11.1997,186.0,147.0,2020,3,9,6,0,M13w
M13w,Kotonowaka,Chiba,19.11.1997,186.0,147.0,2020,7,4,6,5,J2w
J2w,Kotonowaka,Chiba,19.11.1997,186.0,147.0,2020,9,9,6,0,M14w
M14w,Kotonowaka,Chiba,19.11.1997,186.0,147.0,2020,11,7,8,0,
M13e,Kotoshogiku,Fukuoka,30.01.1984,180.0,177.0,2020,1,7,8,0,M13e
M13e,Kotoshogiku,Fukuoka,30.01.1984,180.0,177.0,2020,3,7,8,0,M14e
M14e,Kotoshogiku,Fukuoka,30.01.1984,180.0,177.0,2020,7,8,7,0,M11w
M11w,Kotoshogiku,Fukuoka,30.01.1984,180.0,177.0,2020,9,2,10,3,J3w
J3w,Kotoshogiku,Fukuoka,30.01.1984,180.0,177.0,2020,11,1,6,0,
J8w,Kotoshoho,Chiba,26.08.1999,188.0,144.0,2020,1,9,6,0,J6e
J6e,Kotoshoho,Chiba,26.08.1999,188.0,144.0,2020,3,12,3,0,M15e
M15e,Kotoshoho,Chiba,26.08.1999,188.0,144.0,2020,7,8,7,0,M12e
M12e,Kotoshoho,Chiba,26.08.1999,188.0,144.0,2020,9,10,5,0,M5w
M5w,Kotoshoho,Chiba,26.08.1999,188.0,144.0,2020,11,8,7,0,
M3w,Kotoyuki,Kagawa,02.04.1991,176.0,162.4,2020,1,0,0,15,J1e
J1e,Kotoyuki,Kagawa,02.04.1991,176.0,162.4,2020,3,8,7,0,M17w
M17w,Kotoyuki,Kagawa,02.04.1991,176.0,162.4,2020,7,6,8,1,J2e
J2e,Kotoyuki,Kagawa,02.04.1991,176.0,162.4,2020,9,8,7,0,M15w
M15w,Kotoyuki,Kagawa,02.04.1991,176.0,162.4,2020,11,0,0,15,
J9e,Kyokushuho,Mongolia,09.08.1988,191.0,149.6,2020,1,10,5,0,J5w
J5w,Kyokushuho,Mongolia,09.08.1988,191.0,149.6,2020,3,8,7,0,J3w
J3w,Kyokushuho,Mongolia,09.08.1988,191.0,149.6,2020,7,6,9,0,J5w
J5w,Kyokushuho,Mongolia,09.08.1988,191.0,149.6,2020,9,5,10,0,J10w
J10w,Kyokushuho,Mongolia,09.08.1988,191.0,149.6,2020,11,10,5,0,
J8e,Kyokutaisei,Hokkaido,18.10.1989,184.0,128.2,2020,1,7,8,0,J8e
J8e,Kyokutaisei,Hokkaido,18.10.1989,184.0,128.2,2020,3,9,6,0,J5e
J5e,Kyokutaisei,Hokkaido,18.10.1989,184.0,128.2,2020,7,10,5,0,M16e
M16e,Kyokutaisei,Hokkaido,18.10.1989,184.0,128.2,2020,9,2,3,10,J8e
J8e,Kyokutaisei,Hokkaido,18.10.1989,184.0,128.2,2020,11,8,7,0,
M5e,Meisei,Kagoshima,24.07.1995,180.0,120.0,2020,1,1,7,7,M17e
M17e,Meisei,Kagoshima,24.07.1995,180.0,120.0,2020,3,7,8,0,J1e
J1e,Meisei,Kagoshima,24.07.1995,180.0,120.0,2020,7,10,5,0,M13e
M13e,Meisei,Kagoshima,24.07.1995,180.0,120.0,2020,9,9,6,0,M10w
M10w,Meisei,Kagoshima,24.07.1995,180.0,120.0,2020,11,9,6,0,
J11w,Midorifuji,Shizuoka,30.08.1996,168.0,91.0,2020,3,7,8,0,J12e
J12e,Midorifuji,Shizuoka,30.08.1996,168.0,91.0,2020,7,8,7,0,J10w
J10w,Midorifuji,Shizuoka,30.08.1996,168.0,91.0,2020,9,11,4,0,J2e
J2e,Midorifuji,Shizuoka,30.08.1996,168.0,91.0,2020,11,10,5,0,
M2w,Mitakeumi,Nagano,25.12.1992,179.0,149.0,2020,1,7,8,0,M3w
M3w,Mitakeumi,Nagano,25.12.1992,179.0,149.0,2020,3,10,5,0,S1w
S1w,Mitakeumi,Nagano,25.12.1992,179.0,149.0,2020,7,11,4,0,S1w
S1w,Mitakeumi,Nagano,25.12.1992,179.0,149.0,2020,9,8,7,0,S1e
S1e,Mitakeumi,Nagano,25.12.1992,179.0,149.0,2020,11,7,8,0,
J4w,Mitoryu,Mongolia,25.04.1994,187.0,182.0,2020,1,6,9,0,J7e
J7e,Mitoryu,Mongolia,25.04.1994,187.0,182.0,2020,3,4,11,0,J14w
J14w,Mitoryu,Mongolia,25.04.1994,187.0,182.0,2020,7,10,5,0,J8e
J8e,Mitoryu,Mongolia,25.04.1994,187.0,182.0,2020,9,6,9,0,J11e
J11e,Mitoryu,Mongolia,25.04.1994,187.0,182.0,2020,11,8,7,0,
M1w,Myogiryu,Hyogo,22.10.1986,187.0,148.0,2020,1,5,10,0,M6e
M6e,Myogiryu,Hyogo,22.10.1986,187.0,148.0,2020,3,4,11,0,M10w
M10w,Myogiryu,Hyogo,22.10.1986,187.0,148.0,2020,7,10,5,0,M3e
M3e,Myogiryu,Hyogo,22.10.1986,187.0,148.0,2020,9,6,9,0,M5e
M5e,Myogiryu,Hyogo,22.10.1986,187.0,148.0,2020,11,4,11,0,
J13w,Nishikifuji,Aomori,22.07.1996,180.0,134.0,2020,9,7,8,0,J13w
J13w,Nishikifuji,Aomori,22.07.1996,180.0,134.0,2020,11,3,12,0,
J4e,Nishikigi,Iwate,25.08.1990,184.5,149.5,2020,1,11,4,0,M14w
M14w,Nishikigi,Iwate,25.08.1990,184.5,149.5,2020,3,6,9,0,M16e
M16e,Nishikigi,Iwate,25.08.1990,184.5,149.5,2020,7,6,9,0,J1w
J1w,Nishikigi,Iwate,25.08.1990,184.5,149.5,2020,9,6,9,0,J4w
J4w,Nishikigi,Iwate,25.08.1990,184.5,149.5,2020,11,6,9,0,
J13e,Oki,Niigata,12.06.1996,182.0,153.0,2020,9,0,15,0,
M4e,Okinoumi,Shimane,29.07.1985,190.0,154.0,2020,1,8,7,0,M2e
M2e,Okinoumi,Shimane,29.07.1985,190.0,154.0,2020,3,8,7,0,K1w
K1w,Okinoumi,Shimane,29.07.1985,190.0,154.0,2020,7,9,6,0,K1e
K1e,Okinoumi,Shimane,29.07.1985,190.0,154.0,2020,9,4,11,0,M3w
M3w,Okinoumi,Shimane,29.07.1985,190.0,154.0,2020,11,6,9,0,
M7w,Onosho,Aomori,04.07.1996,176.0,148.5,2020,1,9,6,0,M5w
M5w,Onosho,Aomori,04.07.1996,176.0,148.5,2020,3,9,6,0,M2w
M2w,Onosho,Aomori,04.07.1996,176.0,148.5,2020,7,2,13,0,M9w
M9w,Onosho,Aomori,04.07.1996,176.0,148.5,2020,9,10,5,0,M2e
M2e,Onosho,Aomori,04.07.1996,176.0,148.5,2020,11,7,8,0,
M8w,Ryuden,Yamanashi,10.11.1990,192.0,145.0,2020,1,10,5,0,M5e
M5e,Ryuden,Yamanashi,10.11.1990,192.0,145.0,2020,3,6,9,0,M6w
M6w,Ryuden,Yamanashi,10.11.1990,192.0,145.0,2020,7,7,8,0,M7e
M7e,Ryuden,Yamanashi,10.11.1990,192.0,145.0,2020,9,6,9,0,M10e
M10e,Ryuden,Yamanashi,10.11.1990,192.0,145.0,2020,11,9,6,0,
M10e,Sadanoumi,Kumamoto,11.05.1987,184.0,131.2,2020,1,7,8,0,M10e
M10e,Sadanoumi,Kumamoto,11.05.1987,184.0,131.2,2020,3,6,9,0,M12e
M12e,Sadanoumi,Kumamoto,11.05.1987,184.0,131.2,2020,7,8,7,0,M10e
M10e,Sadanoumi,Kumamoto,11.05.1987,184.0,131.2,2020,9,7,8,0,M11e
M11e,Sadanoumi,Kumamoto,11.05.1987,184.0,131.2,2020,11,5,10,0,
J14w,Sakigake,Mongolia,05.04.1986,180.0,155.3,2020,1,6,9,0,
M14w,Shimanoumi,Mie,11.07.1989,178.0,160.8,2020,1,6,9,0,M16w
M16w,Shimanoumi,Mie,11.07.1989,178.0,160.8,2020,3,9,6,0,M11e
M11e,Shimanoumi,Mie,11.07.1989,178.0,160.8,2020,7,5,10,0,M15e
M15e,Shimanoumi,Mie,11.07.1989,178.0,160.8,2020,9,6,9,0,M17e
M17e,Shimanoumi,Mie,11.07.1989,178.0,160.8,2020,11,11,4,0,
M4w,Shodai,Kumamoto,05.11.1991,182.0,150.0,2020,1,13,2,0,S1w
S1w,Shodai,Kumamoto,05.11.1991,182.0,150.0,2020,3,8,7,0,S1e
S1e,Shodai,Kumamoto,05.11.1991,182.0,150.0,2020,7,11,4,0,S1e
S1e,Shodai,Kumamoto,05.11.1991,182.0,150.0,2020,9,13,2,0,O2e
O2e,Shodai,Kumamoto,05.11.1991,182.0,150.0,2020,11,3,2,10,
M7e,Shohozan,Fukuoka,09.02.1984,177.0,134.5,2020,1,7,8,0,M8e
M8e,Shohozan,Fukuoka,09.02.1984,177.0,134.5,2020,3,4,11,0,M12w
M12w,Shohozan,Fukuoka,09.02.1984,177.0,134.5,2020,7,5,10,0,M15w
M15w,Shohozan,Fukuoka,09.02.1984,177.0,134.5,2020,9,5,10,0,J2w
J2w,Shohozan,Fukuoka,09.02.1984,177.0,134.5,2020,11,6,9,0,
J10e,Sokokurai,China,09.01.1984,185.0,131.6,2020,1,4,11,0,
J10w,Takagenji,Tochigi,13.05.1997,186.0,126.2,2020,1,7,8,0,J10w
J10w,Takagenji,Tochigi,13.05.1997,186.0,126.2,2020,3,6,9,0,J13e
J13e,Takagenji,Tochigi,13.05.1997,186.0,126.2,2020,7,6,9,0,J12e
J12e,Takagenji,Tochigi,13.05.1997,186.0,126.2,2020,11,7,8,0,
O1e,Takakeisho,Hyogo,05.08.1996,173.0,149.0,2020,1,11,4,0,O1e
O1e,Takakeisho,Hyogo,05.08.1996,173.0,149.0,2020,3,7,8,0,O1e
O1e,Takakeisho,Hyogo,05.08.1996,173.0,149.0,2020,7,8,4,3,O1w
O1w,Takakeisho,Hyogo,05.08.1996,173.0,149.0,2020,9,12,3,0,O1e
O1e,Takakeisho,Hyogo,05.08.1996,173.0,149.0,2020,11,13,2,0,
M9e,Takanosho,Chiba,14.11.1994,181.5,128.5,2020,1,7,8,0,M9e
M9e,Takanosho,Chiba,14.11.1994,181.5,128.5,2020,3,12,3,0,M2e
M2e,Takanosho,Chiba,14.11.1994,181.5,128.5,2020,7,8,7,0,M1w
M1w,Takanosho,Chiba,14.11.1994,181.5,128.5,2020,9,10,5,0,S1w
S1w,Takanosho,Chiba,14.11.1994,181.5,128.5,2020,11,8,7,0,
M6e,Takarafuji,Aomori,18.02.1987,186.0,161.1,2020,1,7,8,0,M7e
M7e,Takarafuji,Aomori,18.02.1987,186.0,161.1,2020,3,9,6,0,M3e
M3e,Takarafuji,Aomori,18.02.1987,186.0,161.1,2020,7,5,10,0,M5w
M5w,Takarafuji,Aomori,18.02.1987,186.0,161.1,2020,9,7,8,0,M6e
M6e,Takarafuji,Aomori,18.02.1987,186.0,161.1,2020,11,9,6,0,
S1w,Takayasu,Ibaraki,28.02.1990,187.0,163.0,2020,1,6,9,0,M1w
M1w,Takayasu,Ibaraki,28.02.1990,187.0,163.0,2020,3,0,5,10,M13e
M13e,Takayasu,Ibaraki,28.02.1990,187.0,163.0,2020,7,10,5,0,M6e
M6e,Takayasu,Ibaraki,28.02.1990,187.0,163.0,2020,9,10,5,0,K1w
K1w,Takayasu,Ibaraki,28.02.1990,187.0,163.0,2020,11,8,7,0,
M3e,Tamawashi,Mongolia,16.11.1984,190.0,161.0,2020,1,5,10,0,M7w
M7w,Tamawashi,Mongolia,16.11.1984,190.0,161.0,2020,3,6,9,0,M9e
M9e,Tamawashi,Mongolia,16.11.1984,190.0,161.0,2020,7,10,5,0,M2w
M2w,Tamawashi,Mongolia,16.11.1984,190.0,161.0,2020,9,5,10,0,M6w
M6w,Tamawashi,Mongolia,16.11.1984,190.0,161.0,2020,11,8,7,0,
J13w,Terunofuji,Mongolia,29.11.1991,192.0,158.5,2020,1,13,2,0,J3e
J3e,Terunofuji,Mongolia,29.11.1991,192.0,158.5,2020,3,10,5,0,M17e
M17e,Terunofuji,Mongolia,29.11.1991,192.0,158.5,2020,7,13,2,0,M1e
M1e,Terunofuji,Mongolia,29.11.1991,192.0,158.5,2020,9,8,5,2,K1e
